Fecha,Descripción,Mano de obra (€),Tipo,Marca
2023-11-23,redmi 9c cambio pantalla 45€ 28€,45.00€,Cambio pantalla,Xiaomi/Redmi
2023-11-23,a50 CAMBIO DE PANTALLA SERVICE PACK 105€. 50€,105.00€,Cambio pantalla,Samsung
2023-11-23,IPHONE 6 S CAMBIO DE BATERIA 29€ RAYONES EN MARC 20€,29.00€,Cambio batería,Apple
2023-11-23,iphone 11 cambiado pantalla compatible 85€. tapa 20€,85.00€,Tapa trasera,Apple
2023-11-23,13 PRO MAX LIMPIEZA AURICULAR 15 € 15€,15.00€,Limpieza,Otras
2023-11-23,redmi 9a cambio pantalla 55€ falta un trozo de 30€,55.00€,Cambio pantalla,Xiaomi/Redmi
2023-11-23,"iPhone XR CAMBIO DE PANTALLA COMPATIBLE, 85€ 20€",85.00€,Cambio pantalla,Apple
2023-11-23,redmi note 5a cambio conector 35€ esta muy quemado p 35€,35.00€,Puerto carga/conector,Xiaomi/Redmi
2023-11-23,iphone SE boton volumen - no pulsa bien. 39€ 39€,39.00€,Otros,Apple
2023-11-23,"t500 pantalla despegada , si es reconexion 29 39€",39.00€,Otros,Otras
2023-11-22,redmi 9 cambio pantalla 45€ 23€,45.00€,Cambio pantalla,Xiaomi/Redmi
2023-11-22,A53 5G CAMBIO PANTALLA COMPATIBLE CALIDAD INCEL 37.5€,37.50€,Cambio pantalla,Samsung
2023-11-22,iphone 5se cambio pantalla compatible 42€ deja pa 20€,42.00€,Cambio pantalla,Apple
2023-11-22,iphone 11 pro max CAMBIO DE PANTALLA Y TAPA 189€ DEJA P 20€,189.00€,Cambio pantalla,Apple
2023-11-22,iphone 11 pro max CAMBIO DE PANTALLA Y TAPA 189€ DEJA P 75€,189.00€,Cambio pantalla,Apple
2023-11-22,"Huawei P20 Pro Batería hinchada, cambiar batería por 29€",29.00€,Cambio batería,Huawei/Honor
2023-11-22,"Oukitel Blindado CAMBIAR PANTALLA DE UNO A OTRO, 25€ 25€",25.00€,Otros,Otras
2023-11-22,iphone 11 CAMBIO DE TAPA TRASERA 95€ LIMPIEZA D 80€,95.00€,Limpieza,Apple
2023-11-21,a23 5g cambio pantalla compatible 55€ se llev 38€,55.00€,Cambio pantalla,Samsung
2023-11-21,OPPO A9 2020 CAMBIO DE PANTALLA 55€ 37.5€,55.00€,Cambio pantalla,Oppo/Realme
2023-11-21,iphone xr poner cristal camara y revisar fallo de 49€,49.00€,Otros,Apple
2023-11-21,iphone xr poner cristal camara y revisar fallo de 15€,15.00€,Otros,Apple
2023-11-21,iphone xr poner cristal camara y revisar fallo de 15€,15.00€,Otros,Apple
2023-11-21,"iphone 11 limpieza auricular y altavoz, cambio bat 35€",35.00€,Limpieza,Apple
2023-11-20,REALME X50 5G LIMPIEZA 15 € 15€,15.00€,Limpieza,Oppo/Realme
2023-11-20,"p30 lite CAMBIO DE ALTAVOZ 35/39€, DEJA 20€ D 32€",39.00€,Otros,Huawei/Honor
2023-11-20,A51 CAMBIO DE PANTALLA COMPATIBLE OLED 75€ 28€,75.00€,Cambio pantalla,Samsung
2023-11-20,"iPhone 8 CAMBIO DE PANTALLA, 45€, TAPA TRASERA 20€",45.00€,Cambio pantalla,Apple
2023-11-20,iphone 7 plus cambio bateria 35€el assitente del bot 20€,35.00€,Cambio batería,Apple
2023-11-18,HONOR X8 CAMBIO DE PANTALLA COMPATIBLE 55€. 33.5€,55.00€,Cambio pantalla,Huawei/Honor
2023-11-18,REDMI NOTE 8 PRO CAMBIO FLEX DE BOTONERÍA 39€. TIENE 37€,39.00€,Otros,Xiaomi/Redmi
2023-11-18,redmi 9t cambio pantalla compatible 55€ 30€,55.00€,Cambio pantalla,Xiaomi/Redmi
2023-11-18,OPPO A9 2020 CAMBIO DE PANTALLA COMPATIBLE 55€. DE 38.49€,55.00€,Cambio pantalla,Oppo/Realme
2023-11-17,"iPhone 11 Pro Max NO CARGA Y PARPADEA EL CONECTOR, POSIBLE 35€",35.00€,Puerto carga/conector,Apple
2023-11-17,"iPhone 12 mini cambio pantalla compatible, 99€.crista 20€",99.00€,Cambio pantalla,Apple
2023-11-16,iPhone 14 pro max cambio pantalla + chasis 635€ pantall 150€,635.00€,Cambio pantalla,Apple
2023-11-16,"Xiaomi Redmi 10C CAMBIO DE PANTALLA COMPATIBLE, 55€, RA 36€",55.00€,Cambio pantalla,Xiaomi/Redmi
